1|毛泽东|毛泽东|毛泽东|印度教|毛泽东其他称谓|good remain1|fine remain2|0|19310804|0|湖南省湘潭市|51809090|15890903748|0755-29208489-909|wf@163.com|CHN|00|340505193108045974|1|20111021|很好，操作数据库添加的咯|0|||0||0|
101|Alice|Alice|Ana|Teacher|Teacher|Note1|Note2|01|19900101|0|青海省西宁市|518000|13654545454|5554545|22@22.com|CHN|00|63010119870120001X|1|20170103|禁入客户名单设置|10100563703|10||20170103|1|0|
2011102500000001|真名1|曾用名1|别名1|李元霸1|李元霸1|保留字段1|保留字段2|99|19860606|0|深圳市南山区|518000|13632767890|13632767890|lw@szkingdom.com|CHN|00|41038119870715735X|1|20101111||0|||0||0|
2011102500000002|李元霸2|李元霸2|李元霸2|李元霸2|李元霸2|保留字段2|保留字段3|99|19860606|0|深圳市南山区|518000|13632767890|13632767890|lw@szkingdom.com|CHN|02|211003196911119931|1|20101111||0|||0||0|
2011102500000003|李元霸3|李元霸3|李元霸3|李元霸3|李元霸3|保留字段3|保留字段4|99|19860606|0|深圳市南山区|518000|13632767890|13632767890|lw@szkingdom.com|CHN|03|5423381963|1|20101111||0|||0||0|
2011102500000004|李元霸4|李元霸4|李元霸4|李元霸4|李元霸4|保留字段4|保留字段5|99|19860606|0|深圳市南山区|518000|13632767890|13632767890|lw@szkingdom.com|CHN|04|140300195310227252|1|20101111||0|||0||0|
2011102500000005|李元霸5|李元霸5|李元霸5|李元霸5|李元霸5|保留字段5|保留字段6|99|19860606|0|深圳市南山区|518000|13632767890|13632767890|lw@szkingdom.com|CHN|09|520322194709308745|1|20101111||0|||0||0|
2011102590000001|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|04|19710117|1|SHENZHENNANSHAN|518000|13276422141|077421516669|777991097@qq.com|CHN|00|916077197101176765|0|20180320||0|||0|4|0|
2011102590000002|TEST_NAME1|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|10|19850807|1|SHENZHENNANSHAN|518000|15837185353|066004509544|306671544@qq.com|CHN|00|211896198508071268|2|20180320||0|||0|1|0|
2011102590000003|TEST_NAME2|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|01|19870925|1|SHENZHENNANSHAN|518000|15528541280|02018565214|535939141@qq.com|CHN|00|443610198709250821|2|20180320||0|||0|2|0|
2011102590000004|TEST_NAME|TEST_OLD_NAME|TEST_BY_NAME|TITLE|OTHER_TITLE|11111|22222|02|19480717|1|SHENZHENNANSHAN|518000|18766069496|077632428036|541556560@qq.com|CHN|00|26941819480717212X|1|20180320||0|||0|3|0|
